[(0.602150537634409, 1.6450216450216455),
(1.1182795698924735, 1.6774891774891778),
(1.666666666666667, 1.6774891774891778),
(2.2150537634408605, 1.6774891774891778),
(2.8064516129032264, 1.6666666666666667),
(3.4193548387096775, 1.6233766233766238),
(4.021505376344086, 1.5800865800865804),
(4.9247311827957, 1.5800865800865804),
(5.903225806451614, 1.4610389610389614),
(6.483870967741936, 1.5259740259740264),
(7.0, 1.5259740259740264),
(7.81720430107527, 1.5151515151515154),
(8.451612903225806, 1.5043290043290047),
(8.870967741935484, 1.471861471861472),
(9.483870967741936, 1.482683982683983),
(0.698924731182796, 0.91991341991342),
(1.3440860215053765, 0.9090909090909094),
(2.0430107526881724, 0.9848484848484851),
(2.4516129032258065, 0.9090909090909094),
(3.0537634408602155, 0.8225108225108226),
(3.5806451612903234, 0.7900432900432903),
(4.129032258064516, 0.7792207792207797),
(4.591397849462366, 0.8225108225108226),
(5.397849462365592, 0.8982683982683988),
(5.89247311827957, 0.8982683982683988),
(6.333333333333334, 0.865800865800866),
(6.9247311827957, 0.7683982683982686),
(7.827956989247312, 0.692640692640693),
(8.365591397849462, 0.7251082251082253),
(9.064516129032258, 0.7142857142857146)]
